"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","EU169674","Homo sapiens hybridoma 1F1 immunoglobulin heavy chain mRNA, partial            cds.","EU169677","Homo sapiens hybridoma 1F1 immunoglobulin light chain mRNA, partial            cds.","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","80.08","1e-109"
"","ABY48864","immunoglobulin heavy chain [Homo sapiens].","ABY48867","immunoglobulin light chain [Homo sapiens].","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","80.08","1e-109"
"","AJ300790","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-30), clone M2-4 (m2hie04), Kawasaki disease             patient.","AJ408278","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1g.400B5 gene (locus 1g)), clone M2-4 (m2lie04),             Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","80.16","3e-109"
"","FB747247","Sequence 84 from Patent WO2008017828.","FB747247","Sequence 84 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.68","1e-108"
"","FB747166","Sequence 3 from Patent WO2008017828.","FB747166","Sequence 3 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.68","1e-108"
"","AY941913","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942060","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","79.76","3e-108"
"","AJ399808","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin heavy chain variable region (IGHV gene), clone A8.","AJ399847","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin lambda chain variable region (IGLV gene), clone A8.","Homo sapiens (human)","Thyroid peroxidase autoantibodies obtained from random single chain            FV libraries contain the same heavy/light chain combinations as             occur in vivo","","77.60","7e-108"
"","AY315931","Synthetic construct clone 83L3B immunoglobulin gamma light chain            variable region mRNA, partial cds.","AY315918","Synthetic construct clone 83L3B immunoglobulin lambda light chain            variable region mRNA, partial cds.","synthetic construct","Human antibodies from immunized donors are protective against            anthrax toxin in vivo","","76.40","1e-107"
"","FB747249","Sequence 86 from Patent WO2008017828.","FB747249","Sequence 86 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.48","1e-107"
"","FB747170","Sequence 7 from Patent WO2008017828.","FB747170","Sequence 7 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.48","1e-107"
"","DQ490728","Homo sapiens clone SC4299 anti-West Nile virus immunoglobulin heavy            chain variable region mRNA, partial cds.","DQ490729","Homo sapiens clone SC4299 anti-West Nile virus immunoglobulin light            chain variable region mRNA, partial cds.","Homo sapiens (human)","Isolation and characterization of human monoclonal antibodies from            individuals infected with west nile virus","West Nile virus","76.80","1e-107"
"","AY315939","Synthetic construct clone 83L7D immunoglobulin gamma light chain            variable region mRNA, partial cds.","AY315917","Synthetic construct clone 83L7D immunoglobulin lambda light chain            variable region mRNA, partial cds.","synthetic construct","Human antibodies from immunized donors are protective against            anthrax toxin in vivo","","72.51","2e-107"
"","HM047071","Homo sapiens anti-Venezuelan equine encephalitis virus            immunoglobulin heavy chain variable region mRNA, partial cds.","HM047070","Homo sapiens anti-Venezuelan equine encephalitis virus            immunoglobulin light chain variable region mRNA, partial cds.","Homo sapiens (human)","The first human epitope map of the alphaviral e1 and e2 proteins            reveals a new e2 epitope with significant virus neutralizing             activity","Venezuelan equine encephalitis virus","77.60","3e-107"
"","DQ205147","Homo sapiens clone IM3-1 immunoglobulin heavy chain variable region            VH mRNA, partial cds.","DQ205148","Homo sapiens clone IM3-1 immunoglobulin lambda light chain variable            region VL mRNA, partial cds.","Homo sapiens (human)","Peripheral B cells latently infected with Epstein-Barr virus            display molecular hallmarks of classical antigen-selected memory B             cells","","79.20","3e-107"
"","FB747246","Sequence 83 from Patent WO2008017828.","FB747246","Sequence 83 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.48","3e-107"
"","FB747164","Sequence 1 from Patent WO2008017828.","FB747164","Sequence 1 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.48","3e-107"
"","3D69_B","Chain B, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","3D69_A","Chain A, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","Mus musculus (house mouse)","Crystal Structure Of Fab Fragment Of An Anti-Factor Ix Antibody            10c12","Factor Ix","75.50","3e-107"
"","3D69_H","Chain H, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","3D69_L","Chain L, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","Mus musculus (house mouse)","Crystal Structure Of Fab Fragment Of An Anti-Factor Ix Antibody            10c12","Factor Ix","75.50","3e-107"
"","1NL0_H","Chain H, Crystal Structure Of Human Factor Ix Gla Domain In Complex            Of An Inhibitory Antibody, 10c12.","1NL0_L","Chain L, Crystal Structure Of Human Factor Ix Gla Domain In Complex            Of An Inhibitory Antibody, 10c12.","Homo sapiens (human)","Crystal structure of the calcium-stabilized human factor IX Gla            domain bound to a conformation-specific anti-factor IX antibody","","75.50","3e-107"
"","ADJ67790","anti-Venezuelan equine encephalitis virus immunoglobulin heavy            chain variable region [Homo sapiens].","ADJ67789","anti-Venezuelan equine encephalitis virus immunoglobulin light            chain variable region [Homo sapiens].","Homo sapiens (human)","The first human epitope map of the alphaviral e1 and e2 proteins            reveals a new e2 epitope with significant virus neutralizing             activity","Venezuelan equine encephalitis virus","77.60","3e-107"
"","AY941942","Homo sapiens clone SC4112 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942089","Homo sapiens clone SC4112 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","75.60","7e-107"
"","CQ859640","Sequence 107 from Patent WO2004072117.","CQ859640","Sequence 107 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","78.57","1e-106"
"","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.28","2e-106"
"","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.28","2e-106"
"","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.08","3e-106"
"","AY847516","Homo sapiens anti-CTLA-4 monoclonal antibody immunoglobulin heavy            chain mRNA, partial cds.","AY847517","Homo sapiens anti-CTLA-4 monoclonal antibody immunoglobulin lambda            light chain mRNA, partial cds.","Homo sapiens (human)","Site-directed in vitro immunization leads to a complete human            monoclonal IgG4 lambda that binds specifically to the CDR2 region             of CTLA-4 (CD152) without interfering the engagement of natural             ligands","CTLA-4","77.60","3e-106"
"","AAX56332","anti-CTLA-4 monoclonal antibody immunoglobulin heavy chain [Homo            sapiens].","AAX56333","anti-CTLA-4 monoclonal antibody immunoglobulin lambda light chain            [Homo sapiens].","Homo sapiens (human)","Site-directed in vitro immunization leads to a complete human            monoclonal IgG4 lambda that binds specifically to the CDR2 region             of CTLA-4 (CD152) without interfering the engagement of natural             ligands","CTLA-4","77.60","3e-106"
"","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.08","3e-106"
"","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.68","4e-106"
"","AY941944","Homo sapiens clone SC4114 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942091","Homo sapiens clone SC4114 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","76.00","4e-106"
"","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","Homo sapiens (human)","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines","","75.79","4e-106"
"","AX001146","Sequence 1 from Patent WO9901475.","AX001146","Sequence 1 from Patent WO9901475.","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","75.79","4e-106"
"","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.68","4e-106"
"","CAB77113","unnamed protein product [unidentified].","CAB77113","unnamed protein product [unidentified].","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","75.79","4e-106"
"","AM259133","Homo sapiens partial mRNA for immunoglobulin heavy chain variable            region (T14-1-HC gene), clone T14-1.","AM259143","Homo sapiens partial mRNA for immunoglobulin light chain variable            region (T14-1-LC gene), clone T14-1.","Homo sapiens (human)","Molecular characterization of the anti-idiotypic immune response of            a relapse-free neuroblastoma patient following antibody therapy: a             possible vaccine against tumors of neuroectodermal origin?","","77.69","5e-106"
"","AB063808","Homo sapiens IGH mRNA for immunoglobulin heavy chain VHDJ region,            partial cds, clone:H158.","AB064029","Homo sapiens IGL mRNA for immunoglobulin lambda light chain VLJ            region, partial cds, clone:L158.","Homo sapiens (human)","Construction and characterization of antibody libraries: isolation            of therapeutic human antibodies and application to functional             genomics","","76.40","5e-106"
"","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","alpha","79.60","5e-106"
"","AY941922","Homo sapiens clone SC4092 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942069","Homo sapiens clone SC4092 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","78.40","6e-106"
"","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.68","7e-106"
"","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","76.80","8e-106"
"","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","79.20","1e-105"
"","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.09","1e-105"
"","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","79.20","1e-105"
"","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.09","1e-105"
"","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","76.80","2e-105"
"","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.68","2e-105"
"","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.68","2e-105"
"","AJ557893","Synthetic construct for anti-gliadin ScFv antibody, clone A2.","AJ557893","Synthetic construct for anti-gliadin ScFv antibody, clone A2.","synthetic construct","Phage display of human antibodies from a patient suffering from            coeliac disease and selection of isotype-specific scFv against             gliadin","gliadin","73.71","3e-105"
"","FB747168","Sequence 5 from Patent WO2008017828.","FB747168","Sequence 5 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.28","4e-105"
"","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.66","4e-105"
"","DQ100877","Homo sapiens isolate P1097H immunoglobulin heavy chain variable            region (IGHV3-7) mRNA, IGHV3-7*01 allele, partial cds.","DQ098730","Homo sapiens isolate P1097L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-44*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","77.11","4e-105"
"","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","non","79.20","4e-105"
"","FB747248","Sequence 85 from Patent WO2008017828.","FB747248","Sequence 85 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.28","5e-105"
"","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","79.60","8e-105"
"","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","79.60","8e-105"
"","HI581393","Sequence 43 from Patent WO2010111625.","HI581393","Sequence 43 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","79.28","1e-104"
"","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.00","1e-104"
"","CQ859617","Sequence 84 from Patent WO2004072117.","CQ859617","Sequence 84 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","76.10","1e-104"
"","AJ300785","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-7), clone M1-40 (m1hie40), Kawasaki disease             patient.","AJ408273","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1g400B5 gene (locus 1g)), clone M1-40 (m1lie40),             Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","77.73","1e-104"
"","ABL14172","single chain antibody SN-22 [synthetic construct].","ABL14172","single chain antibody SN-22 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.00","1e-104"
"","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.88","2e-104"
"","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.49","2e-104"
"","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.98","2e-104"
"","ABL14176","single chain antibody SN-34 [synthetic construct].","ABL14176","single chain antibody SN-34 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.98","2e-104"
"","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.88","2e-104"
"","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","78.49","2e-104"
"","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.89","3e-104"
"","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","synthetic construct","Human scFv antibody fragments capable of neutralizing the major            toxin and the whole vemon from the scorpion Centruroides noxius","","76.00","3e-104"
"","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.10","5e-104"
"","AJ233700","Homo sapiens partial mRNA for immunoglobulin G heavy chain variable            region (IGHV3 gene), clone pComb3-LO-ie31.","AJ233720","Homo sapiens partial mRNA for immunoglobulin lambda-1 variable            region (IGLV1 gene), clone pComb3-LO-ie31.","Homo sapiens (human)","Genetic origin of IgG antibodies cloned by phage display and            anti-idiotypic panning from three patients with autoimmune             thrombocytopenia","","76.21","5e-104"
"","AF329462","Synthetic construct JL-427 recombinant single chain Fv antibody            mRNA, partial cds.","AF329462","Synthetic construct JL-427 recombinant single chain Fv antibody            mRNA, partial cds.","synthetic construct","Characterization of Lupus Antibodies to a Conserved Epitope of HIV            gp120","","75.60","6e-104"
"","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","synthetic construct","In vitro neutralization of equid herpesvirus 1 mediated by            recombinant antibodies","EHV 1","78.00","1e-103"
"","DQ490740","Homo sapiens clone SC4311 anti-West Nile virus immunoglobulin heavy            chain variable region mRNA, partial cds.","DQ490727","Homo sapiens clone SC4311 anti-West Nile virus immunoglobulin light            chain variable region mRNA, partial cds.","Homo sapiens (human)","Isolation and characterization of human monoclonal antibodies from            individuals infected with west nile virus","West Nile virus","73.20","1e-103"
"","AY941883","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942030","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","76.00","1e-103"
"","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","77.69","2e-103"
"","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.09","2e-103"
"","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","77.29","2e-103"
"","EF607103","Synthetic construct clone p4-1 Phl p 4-specific scFv antibody gene,            partial cds.","EF607103","Synthetic construct clone p4-1 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.89","2e-103"
"","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.49","2e-103"
"","DQ100979","Homo sapiens isolate N2617H immunoglobulin heavy chain variable            region (IGHV3-30-3) mRNA, IGHV3-30-3*01 allele, partial cds.","DQ098793","Homo sapiens isolate N2617L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-51*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","74.40","2e-103"
"","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","77.69","2e-103"
"","ABL14171","single chain antibody SN-21 [synthetic construct].","ABL14171","single chain antibody SN-21 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.09","2e-103"
"","X98751","H.sapiens mRNA for variable immunoglobulin heavy chain, clone 3.","X98752","H.sapiens mRNA for variable immunoglobulin light chain, clone 3.","Homo sapiens (human)","Isolation of an anti-Digoxigenin antibody out of an human            IGM-Antibody library and expression in E.coli","","77.60","3e-103"
"","HI581401","Sequence 51 from Patent WO2010111625.","HI581401","Sequence 51 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","78.09","4e-103"
"","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","77.69","4e-103"
