"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","ABY48864","immunoglobulin heavy chain [Homo sapiens].","ABY48867","immunoglobulin light chain [Homo sapiens].","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","84.68","7e-115"
"","AJ300790","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-30), clone M2-4 (m2hie04), Kawasaki disease             patient.","AJ408278","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1g.400B5 gene (locus 1g)), clone M2-4 (m2lie04),             Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","84.84","2e-113"
"","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.87","5e-113"
"","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.87","5e-113"
"","FB747166","Sequence 3 from Patent WO2008017828.","FB747166","Sequence 3 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","83.87","1e-112"
"","FB747247","Sequence 84 from Patent WO2008017828.","FB747247","Sequence 84 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","83.87","2e-112"
"","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.06","6e-112"
"","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.06","6e-112"
"","U77374","Homo sapiens clone IRM-3HC IgM heavy chain variable region mRNA,            partial cds.","U76683","Homo sapiens clone IRM-3LC IgM light chain variable region mRNA,            partial cds.","Homo sapiens (human)","Molecular structure of eight human autoreactive monoclonal            antibodies","","86.23","7e-112"
"","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.47","1e-111"
"","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","83.47","1e-111"
"","AY941913","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942060","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","83.13","2e-111"
"","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","8e-111"
"","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","8e-111"
"","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","synthetic construct","Human scFv antibody fragments capable of neutralizing the major            toxin and the whole vemon from the scorpion Centruroides noxius","","81.38","1e-110"
"","AY941922","Homo sapiens clone SC4092 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942069","Homo sapiens clone SC4092 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","83.00","3e-110"
"","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","Homo sapiens (human)","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines","","80.57","3e-110"
"","AX001146","Sequence 1 from Patent WO9901475.","AX001146","Sequence 1 from Patent WO9901475.","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","80.57","3e-110"
"","CAB77113","unnamed protein product [unidentified].","CAB77113","unnamed protein product [unidentified].","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","80.57","3e-110"
"","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","4e-110"
"","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","4e-110"
"","HM047071","Homo sapiens anti-Venezuelan equine encephalitis virus            immunoglobulin heavy chain variable region mRNA, partial cds.","HM047070","Homo sapiens anti-Venezuelan equine encephalitis virus            immunoglobulin light chain variable region mRNA, partial cds.","Homo sapiens (human)","The first human epitope map of the alphaviral e1 and e2 proteins            reveals a new e2 epitope with significant virus neutralizing             activity","Venezuelan equine encephalitis virus","81.38","5e-110"
"","CQ859640","Sequence 107 from Patent WO2004072117.","CQ859640","Sequence 107 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","81.93","5e-110"
"","ADJ67790","anti-Venezuelan equine encephalitis virus immunoglobulin heavy            chain variable region [Homo sapiens].","ADJ67789","anti-Venezuelan equine encephalitis virus immunoglobulin light            chain variable region [Homo sapiens].","Homo sapiens (human)","The first human epitope map of the alphaviral e1 and e2 proteins            reveals a new e2 epitope with significant virus neutralizing             activity","Venezuelan equine encephalitis virus","81.38","5e-110"
"","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","6e-110"
"","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","6e-110"
"","3D69_B","Chain B, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","3D69_A","Chain A, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","Mus musculus (house mouse)","Crystal Structure Of Fab Fragment Of An Anti-Factor Ix Antibody            10c12","Factor Ix","79.67","6e-110"
"","3D69_H","Chain H, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","3D69_L","Chain L, Crystal Structure Of The Fab Fragment Of An Anti-Factor Ix            Antibody 10c12.","Mus musculus (house mouse)","Crystal Structure Of Fab Fragment Of An Anti-Factor Ix Antibody            10c12","Factor Ix","79.67","6e-110"
"","1NL0_H","Chain H, Crystal Structure Of Human Factor Ix Gla Domain In Complex            Of An Inhibitory Antibody, 10c12.","1NL0_L","Chain L, Crystal Structure Of Human Factor Ix Gla Domain In Complex            Of An Inhibitory Antibody, 10c12.","Homo sapiens (human)","Crystal structure of the calcium-stabilized human factor IX Gla            domain bound to a conformation-specific anti-factor IX antibody","","79.67","6e-110"
"","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","80.16","7e-110"
"","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","non","82.59","8e-110"
"","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","alpha","82.59","8e-110"
"","DQ205147","Homo sapiens clone IM3-1 immunoglobulin heavy chain variable region            VH mRNA, partial cds.","DQ205148","Homo sapiens clone IM3-1 immunoglobulin lambda light chain variable            region VL mRNA, partial cds.","Homo sapiens (human)","Peripheral B cells latently infected with Epstein-Barr virus            display molecular hallmarks of classical antigen-selected memory B             cells","","81.38","9e-110"
"","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","80.16","1e-109"
"","AY315931","Synthetic construct clone 83L3B immunoglobulin gamma light chain            variable region mRNA, partial cds.","AY315918","Synthetic construct clone 83L3B immunoglobulin lambda light chain            variable region mRNA, partial cds.","synthetic construct","Human antibodies from immunized donors are protective against            anthrax toxin in vivo","","80.16","1e-109"
"","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","82.59","1e-109"
"","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","82.59","1e-109"
"","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","83.40","2e-109"
"","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","2e-109"
"","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","2e-109"
"","DQ666353","Synthetic construct clone F4 anti-EGFR scFv antibody gene, complete            cds.","DQ666353","Synthetic construct clone F4 anti-EGFR scFv antibody gene, complete            cds.","synthetic construct","Selection and characterization of an internalizing epidermal growth            factor receptor antibody","EGFR","81.12","2e-109"
"","DQ490728","Homo sapiens clone SC4299 anti-West Nile virus immunoglobulin heavy            chain variable region mRNA, partial cds.","DQ490729","Homo sapiens clone SC4299 anti-West Nile virus immunoglobulin light            chain variable region mRNA, partial cds.","Homo sapiens (human)","Isolation and characterization of human monoclonal antibodies from            individuals infected with west nile virus","West Nile virus","80.97","2e-109"
"","AM259133","Homo sapiens partial mRNA for immunoglobulin heavy chain variable            region (T14-1-HC gene), clone T14-1.","AM259143","Homo sapiens partial mRNA for immunoglobulin light chain variable            region (T14-1-LC gene), clone T14-1.","Homo sapiens (human)","Molecular characterization of the anti-idiotypic immune response of            a relapse-free neuroblastoma patient following antibody therapy: a             possible vaccine against tumors of neuroectodermal origin?","","81.12","2e-109"
"","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","83.40","2e-109"
"","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","2e-109"
"","ABG27073","anti-EGFR scFv antibody [synthetic construct].","ABG27073","anti-EGFR scFv antibody [synthetic construct].","synthetic construct","Selection and characterization of an internalizing epidermal growth            factor receptor antibody","EGFR","81.12","2e-109"
"","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.85","2e-109"
"","HI581393","Sequence 43 from Patent WO2010111625.","HI581393","Sequence 43 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","82.26","3e-109"
"","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","3e-109"
"","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","81.45","3e-109"
"","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","79.84","3e-109"
"","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.45","3e-109"
"","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","80.00","4e-109"
"","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","81.45","4e-109"
"","ABL14176","single chain antibody SN-34 [synthetic construct].","ABL14176","single chain antibody SN-34 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","80.00","4e-109"
"","ABL14171","single chain antibody SN-21 [synthetic construct].","ABL14171","single chain antibody SN-21 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","81.45","4e-109"
"","AJ399808","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin heavy chain variable region (IGHV gene), clone A8.","AJ399847","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin lambda chain variable region (IGLV gene), clone A8.","Homo sapiens (human)","Thyroid peroxidase autoantibodies obtained from random single chain            FV libraries contain the same heavy/light chain combinations as             occur in vivo","","79.76","5e-109"
"","AY315939","Synthetic construct clone 83L7D immunoglobulin gamma light chain            variable region mRNA, partial cds.","AY315917","Synthetic construct clone 83L7D immunoglobulin lambda light chain            variable region mRNA, partial cds.","synthetic construct","Human antibodies from immunized donors are protective against            anthrax toxin in vivo","","76.21","6e-109"
"","FB747249","Sequence 86 from Patent WO2008017828.","FB747249","Sequence 86 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","84.27","6e-109"
"","FB747170","Sequence 7 from Patent WO2008017828.","FB747170","Sequence 7 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","84.27","6e-109"
"","AJ557893","Synthetic construct for anti-gliadin ScFv antibody, clone A2.","AJ557893","Synthetic construct for anti-gliadin ScFv antibody, clone A2.","synthetic construct","Phage display of human antibodies from a patient suffering from            coeliac disease and selection of isotype-specific scFv against             gliadin","gliadin","78.23","8e-109"
"","AAX11170","single chain Fv antibody C1 [synthetic construct].","AAX11170","single chain Fv antibody C1 [synthetic construct].","synthetic construct","Human scFv antibody fragments capable of neutralizing the major            toxin and the whole vemon from the scorpion Centruroides noxius","","80.97","8e-109"
"","ACE52059","Sequence 19 from patent US 7381802.","ACE52059","Sequence 19 from patent US 7381802.","Unknown.","Human antibodies that specifically recognize the toxin Cn2 from            Centruroides noxius scorpion venom","","80.97","8e-109"
"","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.51","1e-108"
"","AY941951","Homo sapiens clone SC4121 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942098","Homo sapiens clone SC4121 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","78.23","1e-108"
"","AJ300785","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-7), clone M1-40 (m1hie40), Kawasaki disease             patient.","AJ408273","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1g400B5 gene (locus 1g)), clone M1-40 (m1lie40),             Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","81.97","1e-108"
"","ABL14172","single chain antibody SN-22 [synthetic construct].","ABL14172","single chain antibody SN-22 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.51","1e-108"
"","FB747164","Sequence 1 from Patent WO2008017828.","FB747164","Sequence 1 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","84.27","2e-108"
"","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","synthetic construct","In vitro neutralization of equid herpesvirus 1 mediated by            recombinant antibodies","EHV 1","82.19","2e-108"
"","DQ100877","Homo sapiens isolate P1097H immunoglobulin heavy chain variable            region (IGHV3-7) mRNA, IGHV3-7*01 allele, partial cds.","DQ098730","Homo sapiens isolate P1097L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-44*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","79.27","2e-108"
"","AY941942","Homo sapiens clone SC4112 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942089","Homo sapiens clone SC4112 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","79.35","2e-108"
"","CQ859617","Sequence 84 from Patent WO2004072117.","CQ859617","Sequence 84 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","80.24","2e-108"
"","FB747246","Sequence 83 from Patent WO2008017828.","FB747246","Sequence 83 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","84.27","3e-108"
"","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.88","5e-108"
"","ACW33548","Sequence 6 from patent US 7572442.","ACW33548","Sequence 6 from patent US 7572442.","Unknown.","Selected antibody compositions for binding to aminophospholipids","","78.95","5e-108"
"","ABU37592","Sequence 6 from patent US 7247303.","ABU37592","Sequence 6 from patent US 7247303.","Unknown.","Selected antibody CDRs for binding to aminophospholipids","","78.95","5e-108"
"","AB063808","Homo sapiens IGH mRNA for immunoglobulin heavy chain VHDJ region,            partial cds, clone:H158.","AB064029","Homo sapiens IGL mRNA for immunoglobulin lambda light chain VLJ            region, partial cds, clone:L158.","Homo sapiens (human)","Construction and characterization of antibody libraries: isolation            of therapeutic human antibodies and application to functional             genomics","","78.04","6e-108"
"","AJ233700","Homo sapiens partial mRNA for immunoglobulin G heavy chain variable            region (IGHV3 gene), clone pComb3-LO-ie31.","AJ233720","Homo sapiens partial mRNA for immunoglobulin lambda-1 variable            region (IGLV1 gene), clone pComb3-LO-ie31.","Homo sapiens (human)","Genetic origin of IgG antibodies cloned by phage display and            anti-idiotypic panning from three patients with autoimmune             thrombocytopenia","","80.41","6e-108"
"","HI581401","Sequence 51 from Patent WO2010111625.","HI581401","Sequence 51 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","81.05","7e-108"
"","GP511441","Sequence 5 from patent US 7572442.","GP511441","Sequence 5 from patent US 7572442.","Unknown.","Selected antibody compositions for binding to aminophospholipids","","78.95","7e-108"
"","EA270444","Sequence 5 from patent US 7247303.","EA270444","Sequence 5 from patent US 7247303.","Unknown.","Selected antibody CDRs for binding to aminophospholipids","","78.95","7e-108"
"","AB063813","Homo sapiens IGH mRNA for immunoglobulin heavy chain VHDJ region,            partial cds, clone:H163.","AB064034","Homo sapiens IGL mRNA for immunoglobulin lambda light chain VLJ            region, partial cds, clone:L163.","Homo sapiens (human)","Construction and characterization of antibody libraries: isolation            of therapeutic human antibodies and application to functional             genomics","","79.76","7e-108"
"","AY941943","Homo sapiens clone SC4113 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942090","Homo sapiens clone SC4113 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","78.95","9e-108"
"","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","82.66","1e-107"
"","AF052526","Homo sapiens monoclonal antibody RL1 immunoglobulin heavy chain            variable region mRNA, partial cds.","AF052537","Homo sapiens monoclonal antibody RL1 immunoglobulin light chain            variable region mRNA, partial cds.","Homo sapiens (human)","Immunization of infants with Hib PS-protein conjugate vaccine            elicits two distinct antibody repertoire","","81.45","3e-107"
"","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","81.60","3e-107"
"","AY941944","Homo sapiens clone SC4114 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942091","Homo sapiens clone SC4114 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","79.76","3e-107"
