"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","CS077820","Sequence 3 from Patent WO2005035580.","CS077820","Sequence 3 from Patent WO2005035580.","synthetic construct","Single-chain antibody acting against 37 kda/67 kda laminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","82.66","2e-110"
"","ACQ13333","Sequence 4 from patent US 7507797.","ACQ13333","Sequence 4 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","82.66","2e-110"
"","AB363108","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F008-055H.","AB363362","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F008-055L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","82.66","3e-110"
"","AB363150","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F021-226H.","AB363372","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F021-226L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","82.66","4e-110"
"","DQ205147","Homo sapiens clone IM3-1 immunoglobulin heavy chain variable region            VH mRNA, partial cds.","DQ205148","Homo sapiens clone IM3-1 immunoglobulin lambda light chain variable            region VL mRNA, partial cds.","Homo sapiens (human)","Peripheral B cells latently infected with Epstein-Barr virus            display molecular hallmarks of classical antigen-selected memory B             cells","","81.85","2e-109"
"","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.93","3e-107"
"","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.93","3e-107"
"","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.12","5e-107"
"","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.12","5e-107"
"","U77374","Homo sapiens clone IRM-3HC IgM heavy chain variable region mRNA,            partial cds.","U76683","Homo sapiens clone IRM-3LC IgM light chain variable region mRNA,            partial cds.","Homo sapiens (human)","Molecular structure of eight human autoreactive monoclonal            antibodies","","83.47","9e-107"
"","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","79.92","2e-106"
"","FB747166","Sequence 3 from Patent WO2008017828.","FB747166","Sequence 3 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.53","5e-106"
"","FB747247","Sequence 84 from Patent WO2008017828.","FB747247","Sequence 84 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.53","7e-106"
"","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.72","9e-106"
"","AX460993","Sequence 11 from Patent WO0222680.","AX460993","Sequence 11 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","78.23","9e-106"
"","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.72","9e-106"
"","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.12","1e-105"
"","DQ100923","Homo sapiens isolate P630H immunoglobulin heavy chain variable            region (IGHV3-15) mRNA, IGHV3-15*01 allele, partial cds.","DQ098774","Homo sapiens isolate P630L immunoglobulin lambda light chain            variable region (IGLV3) mRNA, IGLV3-19*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","75.00","1e-105"
"","AX460989","Sequence 7 from Patent WO0222680.","AX460989","Sequence 7 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","78.23","1e-105"
"","AX460987","Sequence 5 from Patent WO0222680.","AX460987","Sequence 5 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","78.23","1e-105"
"","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.12","1e-105"
"","AJ010409","artificial sequence for ScFv antibody containing a synthetic            linker, partial.","AJ010409","artificial sequence for ScFv antibody containing a synthetic            linker, partial.","synthetic construct","Development of Specific Recombinant Monoclonal Antibodies Against            the Lipopolysaccharide of Ralstonia solanacearum Race 3","","77.91","4e-105"
"","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","1e-104"
"","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","1e-104"
"","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","alpha","81.05","1e-104"
"","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.32","2e-104"
"","AB363182","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F033-668H.","AB363386","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F033-668L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","74.30","2e-104"
"","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","78.09","2e-104"
"","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.32","2e-104"
"","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","77.42","2e-104"
"","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","non","81.45","3e-104"
"","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","77.42","4e-104"
"","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","79.12","4e-104"
"","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","6e-104"
"","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","6e-104"
"","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","9e-104"
"","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","9e-104"
"","HI581393","Sequence 43 from Patent WO2010111625.","HI581393","Sequence 43 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","80.72","1e-103"
"","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","1e-103"
"","DQ100975","Homo sapiens isolate N228H immunoglobulin heavy chain variable            region (IGHV3-15) mRNA, IGHV3-15*01 allele, partial cds.","DQ098786","Homo sapiens isolate N228L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-40*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","72.98","1e-103"
"","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.52","1e-103"
"","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","3e-103"
"","AY941913","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942060","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","79.60","3e-103"
"","CQ859640","Sequence 107 from Patent WO2004072117.","CQ859640","Sequence 107 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","79.60","3e-103"
"","ABL14172","single chain antibody SN-22 [synthetic construct].","ABL14172","single chain antibody SN-22 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","3e-103"
"","FB747170","Sequence 7 from Patent WO2008017828.","FB747170","Sequence 7 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.72","5e-103"
"","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","80.24","5e-103"
"","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","79.92","6e-103"
"","FB747249","Sequence 86 from Patent WO2008017828.","FB747249","Sequence 86 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.72","6e-103"
"","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","80.24","6e-103"
"","ABL14171","single chain antibody SN-21 [synthetic construct].","ABL14171","single chain antibody SN-21 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","79.92","6e-103"
"","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","Homo sapiens (human)","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines","","77.20","7e-103"
"","AX001146","Sequence 1 from Patent WO9901475.","AX001146","Sequence 1 from Patent WO9901475.","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","77.20","7e-103"
"","CAB77113","unnamed protein product [unidentified].","CAB77113","unnamed protein product [unidentified].","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","77.20","7e-103"
"","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","81.45","9e-103"
"","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","81.45","9e-103"
"","FB747164","Sequence 1 from Patent WO2008017828.","FB747164","Sequence 1 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.72","1e-102"
"","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","synthetic construct","In vitro neutralization of equid herpesvirus 1 mediated by            recombinant antibodies","EHV 1","79.84","1e-102"
"","AM259133","Homo sapiens partial mRNA for immunoglobulin heavy chain variable            region (T14-1-HC gene), clone T14-1.","AM259143","Homo sapiens partial mRNA for immunoglobulin light chain variable            region (T14-1-LC gene), clone T14-1.","Homo sapiens (human)","Molecular characterization of the anti-idiotypic immune response of            a relapse-free neuroblastoma patient following antibody therapy: a             possible vaccine against tumors of neuroectodermal origin?","","79.84","1e-102"
"","DQ250252","Synthetic construct clone NN-9 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250252","Synthetic construct clone NN-9 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","79.52","1e-102"
"","CQ859617","Sequence 84 from Patent WO2004072117.","CQ859617","Sequence 84 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","78.31","1e-102"
"","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.71","2e-102"
"","FB747246","Sequence 83 from Patent WO2008017828.","FB747246","Sequence 83 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","80.72","2e-102"
"","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","78.31","2e-102"
"","Y12720","H.sapiens mRNA for immunoglobulin heavy chain, Fab fragment, clones            PDG13/PDG17/PDG31/PDG37.","Y12722","H.sapiens mRNA for immunoglobulin lambda light chain, Fab fragment,            clones PDG13/PDG17/PDG31/PDG37.","Homo sapiens (human)","Recombinant human natural autoantibodies against GPIIb/IIIa inhibit            binding of autoantibodies from patients with AITP","","79.44","2e-102"
"","HI581401","Sequence 51 from Patent WO2010111625.","HI581401","Sequence 51 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","79.52","3e-102"
"","FJ385399","Homo sapiens isolate RSV128H immunoglobulin heavy chain variable            region mRNA, partial cds.","FJ385549","Homo sapiens isolate RSV128L immunoglobulin light chain variable            region mRNA, partial cds.","Homo sapiens (human)","The human neonatal B cell response to respiratory syncytial virus            uses a biased antibody variable gene repertoire that lacks somatic             mutations","","77.18","3e-102"
"","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.71","3e-102"
"","ABL14176","single chain antibody SN-34 [synthetic construct].","ABL14176","single chain antibody SN-34 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.71","3e-102"
"","AY642667","Synthetic construct clone A6 single chain Fv antibody gene, partial            cds.","AY642667","Synthetic construct clone A6 single chain Fv antibody gene, partial            cds.","synthetic construct","Light chain germline genes V1-16 and V2-13 determine specificity of            anti-IgE Fvs isolated from human semi-synthetic antibody phage             display library","","79.84","6e-102"
"","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","80.32","1e-101"
"","EF089254","Synthetic construct single chain antibody SN-31 gene, partial cds.","EF089254","Synthetic construct single chain antibody SN-31 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","2e-101"
"","DQ100976","Homo sapiens isolate N2303H immunoglobulin heavy chain variable            region (IGHV3-23) mRNA, IGHV3-23*01 allele, partial cds.","DQ098789","Homo sapiens isolate N2303L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-44*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","75.00","2e-101"
"","AY941883","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942030","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","76.61","2e-101"
"","ABL14174","single chain antibody SN-31 [synthetic construct].","ABL14174","single chain antibody SN-31 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","2e-101"
"","DQ250237","Synthetic construct clone NL2-4 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250237","Synthetic construct clone NL2-4 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","4e-101"
"","DQ250177","Synthetic construct clone FC-11 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250177","Synthetic construct clone FC-11 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.00","4e-101"
"","EF607106","Synthetic construct clone p4-5 Phl p 4-specific scFv antibody gene,            partial cds.","EF607106","Synthetic construct clone p4-5 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","77.82","5e-101"
"","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250249","Synthetic construct clone NN-2 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","79.12","5e-101"
"","DQ100869","Homo sapiens isolate N2542H immunoglobulin heavy chain variable            region (IGHV3-49) mRNA, IGHV3-49*03 allele, partial cds.","DQ098695","Homo sapiens isolate N2542L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-40*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","70.28","5e-101"
"","EF089250","Synthetic construct single chain antibody SR-3 gene, partial cds.","EF089250","Synthetic construct single chain antibody SR-3 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","6e-101"
"","ABL14170","single chain antibody SR-3 [synthetic construct].","ABL14170","single chain antibody SR-3 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","6e-101"
"","AF396476","Homo sapiens clone E7 anti-thrombospondin immunoglobulin heavy            chain variable region mRNA, partial cds.","AF396477","Homo sapiens clone E7 anti-thrombospondin immunoglobulin light            chain variable region mRNA, partial cds.","Homo sapiens (human)","Single-chain antibody fragments derived from a human synthetic            phage-display library bind thrombospondin and inhibit sickle cell             adhesion","thrombospondin","79.44","7e-101"
"","DQ250194","Synthetic construct clone EC-9 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250194","Synthetic construct clone EC-9 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","7e-101"
"","EF089255","Synthetic construct single chain antibody SN-33 gene, partial cds.","EF089255","Synthetic construct single chain antibody SN-33 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.29","8e-101"
"","ABL14175","single chain antibody SN-33 [synthetic construct].","ABL14175","single chain antibody SN-33 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.29","8e-101"
"","AF543342","Synthetic construct clone FSV43 recombinant single chain Fv            antibody gene, partial cds.","AF543342","Synthetic construct clone FSV43 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","76.40","1e-100"
"","FB747248","Sequence 85 from Patent WO2008017828.","FB747248","Sequence 85 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.52","1e-100"
"","FB747168","Sequence 5 from Patent WO2008017828.","FB747168","Sequence 5 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.52","1e-100"
"","DQ250181","Synthetic construct clone FC-15 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250181","Synthetic construct clone FC-15 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.00","1e-100"
"","DQ100877","Homo sapiens isolate P1097H immunoglobulin heavy chain variable            region (IGHV3-7) mRNA, IGHV3-7*01 allele, partial cds.","DQ098730","Homo sapiens isolate P1097L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-44*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","76.11","1e-100"
