"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","EF127823","Synthetic construct clone SFDBII92HC scFv immunoglobulin heavy            chain variable region gene, partial cds.","EF127828","Synthetic construct clone SFDBII92LC scFv immunoglobulin light            chain variable region gene, partial cds.","synthetic construct","Direct Submission","","81.53","1e-107"
"","FB747247","Sequence 84 from Patent WO2008017828.","FB747247","Sequence 84 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.93","2e-107"
"","FB747166","Sequence 3 from Patent WO2008017828.","FB747166","Sequence 3 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.93","2e-107"
"","GP282223","Sequence 3 from patent US 7507797.","GP282223","Sequence 3 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","81.12","4e-107"
"","CS077820","Sequence 3 from Patent WO2005035580.","CS077820","Sequence 3 from Patent WO2005035580.","synthetic construct","Single-chain antibody acting against 37 kda/67 kda laminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","81.12","4e-107"
"","ACQ13333","Sequence 4 from patent US 7507797.","ACQ13333","Sequence 4 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","81.12","4e-107"
"","AB363108","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F008-055H.","AB363362","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F008-055L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","80.72","7e-107"
"","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","AF487505","Synthetic construct clone A54 anti human CD40 single-chain antibody            fragment A54 (A54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.60","3e-106"
"","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","AAN17011","anti human CD40 single-chain antibody fragment A54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","81.60","3e-106"
"","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","AF487510","Synthetic construct clone A3-68 anti human CD40 single-chain            antibody fragment A3-68 (A3-68/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","6e-106"
"","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","AAN17016","anti human CD40 single-chain antibody fragment A3-68 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","6e-106"
"","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250251","Synthetic construct clone NN-7 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.40","3e-105"
"","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","AF487507","Synthetic construct clone A2-54 anti human CD40 single-chain            antibody fragment A2-54 (A2-54/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.40","8e-105"
"","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","AAN17013","anti human CD40 single-chain antibody fragment A2-54 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.40","8e-105"
"","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","AF487506","Synthetic construct clone A2-30 anti human CD40 single-chain            antibody fragment A2-30 (A2-30/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","1e-104"
"","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","EF607118","Synthetic construct clone p5-17 Phl p 5-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","78.00","1e-104"
"","AJ010409","artificial sequence for ScFv antibody containing a synthetic            linker, partial.","AJ010409","artificial sequence for ScFv antibody containing a synthetic            linker, partial.","synthetic construct","Development of Specific Recombinant Monoclonal Antibodies Against            the Lipopolysaccharide of Ralstonia solanacearum Race 3","","78.17","1e-104"
"","AX460993","Sequence 11 from Patent WO0222680.","AX460993","Sequence 11 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","77.51","1e-104"
"","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","AAN17012","anti human CD40 single-chain antibody fragment A2-30 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.80","1e-104"
"","AX460989","Sequence 7 from Patent WO0222680.","AX460989","Sequence 7 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","77.51","2e-104"
"","AX460987","Sequence 5 from Patent WO0222680.","AX460987","Sequence 5 from Patent WO0222680.","synthetic construct","Site-specific, antibody-mediated activation of proapoptotic            cytokine: amaice (antibody-mediated apoptosis inducing cytokine)","","77.51","2e-104"
"","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","AAQ56714","anti non muscular myosin IIa scFv-SF9 [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","non","80.72","2e-104"
"","FB747249","Sequence 86 from Patent WO2008017828.","FB747249","Sequence 86 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.12","3e-104"
"","FB747170","Sequence 7 from Patent WO2008017828.","FB747170","Sequence 7 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.12","3e-104"
"","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.80","3e-104"
"","DQ250177","Synthetic construct clone FC-11 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250177","Synthetic construct clone FC-11 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","77.69","3e-104"
"","AY941913","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942060","Homo sapiens clone SC4083 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","80.48","3e-104"
"","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","AAQ56711","anti alpha tubulin scFv-F2C [synthetic construct].","synthetic construct","Recombinant antibodies against subcellular fractions used to track            endogenous Golgi protein dynamics in vivo","alpha","80.72","3e-104"
"","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","EF089252","Synthetic construct single chain antibody SN-22 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.30","5e-104"
"","ABL14172","single chain antibody SN-22 [synthetic construct].","ABL14172","single chain antibody SN-22 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.30","5e-104"
"","FB747164","Sequence 1 from Patent WO2008017828.","FB747164","Sequence 1 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.12","7e-104"
"","FB747246","Sequence 83 from Patent WO2008017828.","FB747246","Sequence 83 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","81.12","8e-104"
"","U77374","Homo sapiens clone IRM-3HC IgM heavy chain variable region mRNA,            partial cds.","U76683","Homo sapiens clone IRM-3LC IgM light chain variable region mRNA,            partial cds.","Homo sapiens (human)","Molecular structure of eight human autoreactive monoclonal            antibodies","","80.08","9e-104"
"","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","AF487508","Synthetic construct clone A2-57 anti human CD40 single-chain            antibody fragment A2-57 (A2-57/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","1e-103"
"","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","AF487503","Synthetic construct clone A43 anti human CD40 single-chain antibody            fragment A43 (A43/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.00","1e-103"
"","CQ859640","Sequence 107 from Patent WO2004072117.","CQ859640","Sequence 107 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","80.48","1e-103"
"","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","AAN17014","anti human CD40 single-chain antibody fragment A2-57 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","1e-103"
"","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","AAN17009","anti human CD40 single-chain antibody fragment A43 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.00","1e-103"
"","DQ250237","Synthetic construct clone NL2-4 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250237","Synthetic construct clone NL2-4 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.49","2e-103"
"","EF089250","Synthetic construct single chain antibody SR-3 gene, partial cds.","EF089250","Synthetic construct single chain antibody SR-3 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.49","3e-103"
"","ABL14170","single chain antibody SR-3 [synthetic construct].","ABL14170","single chain antibody SR-3 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.49","3e-103"
"","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","EF089251","Synthetic construct single chain antibody SN-21 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","80.00","4e-103"
"","DQ250181","Synthetic construct clone FC-15 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250181","Synthetic construct clone FC-15 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","77.29","4e-103"
"","ABL14171","single chain antibody SN-21 [synthetic construct].","ABL14171","single chain antibody SN-21 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","80.00","4e-103"
"","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","AF487509","Synthetic construct clone A3-12 anti human CD40 single-chain            antibody fragment A3-12 (A3-12/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.48","5e-103"
"","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","AAN17015","anti human CD40 single-chain antibody fragment A3-12 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","80.48","5e-103"
"","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","AF487504","Synthetic construct clone A49 anti human CD40 single-chain antibody            fragment A49 (A49/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","7e-103"
"","AF543342","Synthetic construct clone FSV43 recombinant single chain Fv            antibody gene, partial cds.","AF543342","Synthetic construct clone FSV43 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","77.69","7e-103"
"","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","AAN17010","anti human CD40 single-chain antibody fragment A49 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","7e-103"
"","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","AF487502","Synthetic construct clone A24 anti human CD40 single-chain antibody            fragment A24 (A24/pFAB5c-His) mRNA, partial cds.","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","8e-103"
"","EF089238","Synthetic construct single chain antibody SC-3 gene, partial cds.","EF089238","Synthetic construct single chain antibody SC-3 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.89","8e-103"
"","ABL14158","single chain antibody SC-3 [synthetic construct].","ABL14158","single chain antibody SC-3 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.89","8e-103"
"","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","AAN17008","anti human CD40 single-chain antibody fragment A24 [synthetic            construct].","synthetic construct","In vitro molecular evolution of antibody genes mimicking receptor            revision","human CD40","79.20","8e-103"
"","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","DQ201312","Synthetic construct anti-EBV LMP1 single chain Fv antibody f5 gene,            complete cds.","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","79.92","9e-103"
"","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","ABA55012","anti-EBV LMP1 single chain Fv antibody f5 [synthetic construct].","synthetic construct","Modulation of Epstein-Barr virus latent membrane protein 1 activity            by intrabodies","EBV LMP1","79.92","9e-103"
"","EF089255","Synthetic construct single chain antibody SN-33 gene, partial cds.","EF089255","Synthetic construct single chain antibody SN-33 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.97","1e-102"
"","EF089249","Synthetic construct single chain antibody SR-2 gene, partial cds.","EF089249","Synthetic construct single chain antibody SR-2 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.89","1e-102"
"","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","EF452650","Synthetic construct clone C4 anti-EHV 1 scFv antibody gene,            complete cds.","synthetic construct","In vitro neutralization of equid herpesvirus 1 mediated by            recombinant antibodies","EHV 1","79.52","1e-102"
"","DQ250194","Synthetic construct clone EC-9 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250194","Synthetic construct clone EC-9 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.49","1e-102"
"","ABL14175","single chain antibody SN-33 [synthetic construct].","ABL14175","single chain antibody SN-33 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.97","1e-102"
"","ABL14169","single chain antibody SR-2 [synthetic construct].","ABL14169","single chain antibody SR-2 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.89","1e-102"
"","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","ADE43519","anti-2,4,6-trinitrotoluene scFv antibody 1-2 [synthetic construct].","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","76.71","1e-102"
"","HI581393","Sequence 43 from Patent WO2010111625.","HI581393","Sequence 43 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","80.00","2e-102"
"","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","GU989094","Synthetic construct anti-2,4,6-trinitrotoluene scFv antibody 1-2            gene, complete cds.","synthetic construct","Flow cytometric screening of single chain fragment variable            antibodies recognized 2,4,6-trinitrotoluene from a nonimmune yeast             surface display library","2,4,6-trinitrotoluene","76.71","2e-102"
"","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","EF089256","Synthetic construct single chain antibody SN-34 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.00","2e-102"
"","AF543341","Synthetic construct clone FSV56 recombinant single chain Fv            antibody gene, partial cds.","AF543341","Synthetic construct clone FSV56 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","77.29","2e-102"
"","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250248","Synthetic construct clone NN-1 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","80.40","2e-102"
"","DQ250207","Synthetic construct clone TC-3 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250207","Synthetic construct clone TC-3 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.98","2e-102"
"","AY941883","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942030","Homo sapiens clone SC4050 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","77.51","2e-102"
"","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","BD107829","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines.","Homo sapiens (human)","Human antibody against a fusion(poly)peptide or protein presenting            a part having at least six histidines","","76.71","2e-102"
"","AX001146","Sequence 1 from Patent WO9901475.","AX001146","Sequence 1 from Patent WO9901475.","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","76.71","2e-102"
"","ABL14176","single chain antibody SN-34 [synthetic construct].","ABL14176","single chain antibody SN-34 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","78.00","2e-102"
"","CAB77113","unnamed protein product [unidentified].","CAB77113","unnamed protein product [unidentified].","unidentified","HUMAN ANTIBODY AGAINST A FUSION (POLY) PEPTIDE OR PROTEIN            PRESENTING A PART HAVING AT LEAST SIX HISTIDINES","","76.71","2e-102"
"","FJ385399","Homo sapiens isolate RSV128H immunoglobulin heavy chain variable            region mRNA, partial cds.","FJ385549","Homo sapiens isolate RSV128L immunoglobulin light chain variable            region mRNA, partial cds.","Homo sapiens (human)","The human neonatal B cell response to respiratory syncytial virus            uses a biased antibody variable gene repertoire that lacks somatic             mutations","","76.45","3e-102"
"","EF089248","Synthetic construct single chain antibody SR-1 gene, partial cds.","EF089248","Synthetic construct single chain antibody SR-1 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.29","3e-102"
"","AF543344","Synthetic construct clone FSV61 recombinant single chain Fv            antibody gene, partial cds.","AF543344","Synthetic construct clone FSV61 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","76.89","3e-102"
"","AF543340","Synthetic construct clone FSV52 recombinant single chain Fv            antibody gene, partial cds.","AF543340","Synthetic construct clone FSV52 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","77.29","3e-102"
"","AF543339","Synthetic construct clone FSV51 recombinant single chain Fv            antibody gene, partial cds.","AF543339","Synthetic construct clone FSV51 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","77.29","3e-102"
"","DQ250182","Synthetic construct clone FC-16 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250182","Synthetic construct clone FC-16 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","77.29","3e-102"
"","DQ250169","Synthetic construct clone FC-1 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250169","Synthetic construct clone FC-1 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","77.29","3e-102"
"","ABL14168","single chain antibody SR-1 [synthetic construct].","ABL14168","single chain antibody SR-1 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","77.29","3e-102"
"","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","GQ390339","Synthetic construct anti-human-CTGF single chain fragment variable            antibody gene, partial cds.","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","80.72","5e-102"
"","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","ACU86963","anti-human-CTGF single chain fragment variable antibody [synthetic            construct].","synthetic construct","Bioscreening of phage display antibody library and soluble","human-CTGF single chain fragment","80.72","5e-102"
"","FB747248","Sequence 85 from Patent WO2008017828.","FB747248","Sequence 85 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.92","6e-102"
"","FB747168","Sequence 5 from Patent WO2008017828.","FB747168","Sequence 5 from Patent WO2008017828.","Homo sapiens (human)","Antibody","","79.92","6e-102"
"","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","EF607108","Synthetic construct clone p4-11 Phl p 4-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.80","6e-102"
"","DQ250222","Synthetic construct clone TC-19 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250222","Synthetic construct clone TC-19 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.89","7e-102"
"","DQ100923","Homo sapiens isolate P630H immunoglobulin heavy chain variable            region (IGHV3-15) mRNA, IGHV3-15*01 allele, partial cds.","DQ098774","Homo sapiens isolate P630L immunoglobulin lambda light chain            variable region (IGLV3) mRNA, IGLV3-19*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","72.40","7e-102"
"","AX814386","Sequence 11 from Patent WO03064648.","AX814386","Sequence 11 from Patent WO03064648.","synthetic construct","Method of making libraries of anti-ligands","","76.89","8e-102"
"","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250254","Synthetic construct clone NN-14 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","78.40","1e-101"
"","DQ250208","Synthetic construct clone TC-5 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250208","Synthetic construct clone TC-5 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.70","1e-101"
"","DQ250191","Synthetic construct clone EC-6 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250191","Synthetic construct clone EC-6 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","77.29","1e-101"
"","DQ100975","Homo sapiens isolate N228H immunoglobulin heavy chain variable            region (IGHV3-15) mRNA, IGHV3-15*01 allele, partial cds.","DQ098786","Homo sapiens isolate N228L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-40*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","71.49","1e-101"
"","AY642667","Synthetic construct clone A6 single chain Fv antibody gene, partial            cds.","AY642667","Synthetic construct clone A6 single chain Fv antibody gene, partial            cds.","synthetic construct","Light chain germline genes V1-16 and V2-13 determine specificity of            anti-IgE Fvs isolated from human semi-synthetic antibody phage             display library","","80.32","1e-101"
